Employee ID,First Name,Last Name,Gender,Date of Birth,Job Title,Department,Manager Name,Hire Date,Email,Phone Number,Address,City,State,Country,Postal Code,Salary,Employee Status,Date of Termination,Performance Rating
670487,Daniel,Figueroa,Male,1973-11-18,Corporate treasurer,Operations,Curtis Yang,2023-12-21,garzaanthony@example.org,538.990.8386,26542 Susan Junction Apt. 161,Melanieview,Arizona,Saint Lucia,60718,110284,Active,,4
82627,Andrea,Calderon,Female,1997-12-25,"Engineer, agricultural",Operations,Chad Stanley,2019-08-14,wyattmichelle@example.com,575-425-5341x928,4835 Jeremy Bypass Suite 641,New Nancy,Massachusetts,Croatia,86410,105435,Inactive,2020-10-30,4
277746,Donald,Mcgee,Female,1998-06-22,Phytotherapist,Sales,Reginald Robinson,2017-01-17,ddavis@example.org,(626)291-6697,845 Kelly Estate,Smithview,North Carolina,Serbia,23917,106542,Active,,3
882554,Danielle,Lynch,Male,1984-02-20,"Designer, television/film set",Sales,Stephanie Nielsen,2014-09-14,tracy15@example.com,403.491.1718,248 Brandt Plains Apt. 465,Lammouth,Delaware,Egypt,29952,48392,Inactive,2024-02-15,1
241292,Brianna,Smith,Male,1974-04-10,Broadcast journalist,Engineering,Michele Jones,2018-09-28,elizabeth38@example.org,001-899-973-7631x1656,106 Mcbride Coves,East James,New Hampshire,Burundi,55797,64050,Inactive,2020-11-12,4
916964,Sandra,Ramos,Male,1962-02-19,"Sound technician, broadcasting/film/video",Engineering,Tanya House,2018-09-18,richardolson@example.com,9264064746,3098 Julie Centers,New Thomashaven,Hawaii,Azerbaijan,67063,50500,Active,,1
623939,Carlos,Hensley,Female,1966-11-07,"Teacher, early years/pre",HR,Beth Williams,2016-02-02,ksandoval@example.net,343-353-4624x75107,425 Natasha Land,Ericside,Virginia,Gabon,80674,145788,Active,,5
313921,Sarah,Garcia,Male,1976-09-09,Commercial art gallery manager,Engineering,Julia Moore,2019-06-27,jenniferharris@example.net,687-440-1640x052,680 Charles Spurs Apt. 805,South David,Maryland,Haiti,05730,86898,Active,,2
699330,Curtis,Deleon,Female,2000-12-05,"Designer, fashion/clothing",HR,Michelle Cherry,2017-09-15,vjohnson@example.com,(534)221-6073x37543,5414 May Locks,Sheilaville,Kentucky,Christmas Island,76600,74795,Active,,1
625550,Ryan,Chandler,Female,1988-05-22,Trading standards officer,Sales,Darrell Lam,2017-12-05,bradley60@example.net,+1-635-661-5951,6482 Robert Light Apt. 994,Kelleytown,Maryland,France,28050,96346,Inactive,2021-09-07,4
463638,Emma,Dixon,Male,2003-07-12,Chartered accountant,Finance,Zachary Schultz,2020-05-24,cardenaskaren@example.net,533-820-0379x1769,3201 Robinson Unions Suite 083,South Dennismouth,Texas,Marshall Islands,73760,118047,Inactive,2024-09-08,4
